throughput_max,throughput_avg,time_avg_ms,time_std_ms,time_p95_ms,sequence_length,instance_type
66.0,50.4054054054054,67.59541175524964,16.580259884234632,91.36011004984539,1,c6i.2xlarge
132.0,96.23376623376623,73.67581564150123,19.331275156431275,102.57533310007146,2,c6i.2xlarge
288.0,216.52173913043478,66.22142159249779,15.868300837127771,89.1124735498579,4,c6i.2xlarge
432.0,299.4639175257732,91.46480172724443,21.744082119068807,120.63698684976316,8,c6i.2xlarge
384.0,326.7317073170732,162.2934439835101,14.21220332902457,188.9523770001233,16,c6i.2xlarge
768.0,488.46153846153845,205.90886098249916,22.81685370922213,235.1679143500405,32,c6i.2xlarge
768.0,669.8050541516245,275.4727635820018,13.59666395417485,294.8107253504531,64,c6i.2xlarge
1024.0,721.3429256594724,410.52845105299434,29.57503449104883,450.2382549505,128,c6i.2xlarge
768.0,376.8421052631579,775.9409357602497,22.68876175079623,814.6461144503974,256,c6i.2xlarge
512.0,512.0,1584.0189828315013,76.86206244860034,1621.7264173999865,512,c6i.2xlarge
